from,to,value,gas,input,tx_hash,fuzz_string
0x840f17E8BFA2B5e41DC9fFc4575AB78BdD7A933b,0x145180440918693c67F2eC038Fdc894a2892cc4b,0,3000000,0x8f088f92000000000000000000000000145180440918693c67f2ec038fdc894a2892cc4b,0x3c2d8496c1dd4b51d49b8f22c8c6546622edc5c2e91b98bdc9de43f4a56f54c5,"1_safe.sol,1_safe_attacker.sol,safe,2"
0xa4d0680F0dFfD18f857939197414759B47133155,0x9B689638F61EA6F9f05287887D9534FA57d5D02c,0,3000000,0x8f088f920000000000000000000000009b689638f61ea6f9f05287887d9534fa57d5d02c,0x6d7e6f692d01f64d850d340b3b1e5924289e08ffd259b75de5ce37222fd613f4,"1.sol,1_attacker.sol,vul,1"
0x0237d40C7F732a07684740F21c603E837c913692,0xFE1Fab3fd121c7020E69049CE8F82803D0f3Fb91,0,3000000,0x8f088f92000000000000000000000000fe1fab3fd121c7020e69049ce8f82803d0f3fb91,0xe00b828b0f9b772af1e6f64d1024f48cf480168cb3e6dbf96fb89af34e808477,"1_safe.sol,1_safe_attacker_benign.sol,safe,4"
0x96222aAFB304Ea808249a0C71cD062fb0064a741,0x2b71794B2b0977dC790542F19DbAD20FaCAaAd4e,0,3000000,0x8f088f920000000000000000000000002b71794b2b0977dc790542f19dbad20facaaad4e,0x0c1eae6fa392ebd884084d90eb2636797c6d4189338aefc3f32f00062161019c,"1.sol,1_benign_attacker.sol,safe,3"
0xd5708E17b94874a18650d18a18f80ad581fD70d4,0xdEBF9a0c9f138854A6ade813d5300e2611Ad94a9,0,3000000,0x8f088f92000000000000000000000000debf9a0c9f138854a6ade813d5300e2611ad94a9,0x36ea0d03f25114e4c7eadeacc0286033577064c8be751bfc6176943b40487960,"2.sol,2_attacker_benign.sol,safe,6"
0x7319cADdA7981fB44AE7F2B1e0833a7ba4Cb1e4D,0x0CcEBaFd85B21D31450b032015B8e5032D72930C,0,3000000,0x8f088f920000000000000000000000000ccebafd85b21d31450b032015b8e5032d72930c,0x39d16ef4c1e31cda936b1b4f8143c47fe0e6572ada8505f632f955f6d65f0600,"2.sol,2_attacker.sol,vul,5"
0x09bEFa535a284b668A1183F698d65dc2D87EeAf8,0x421346b49f1A2039863e70b092427Bcb42Ff3B4E,0,3000000,0x8f088f92000000000000000000000000421346b49f1a2039863e70b092427bcb42ff3b4e,0xd11580a359511f1922dadf4a1b1e0a86a1a9bd2cb699922bfa832b79cfbb7ab4,"3.sol,3_attacker.sol,vul,vul,8"
0xae7fc915F128b70B88468cC64D78927a065C7748,0x22B9C911e5FC6Cc79201d441EA083a4748AC9a58,0,3000000,0x8f088f9200000000000000000000000022b9c911e5fc6cc79201d441ea083a4748ac9a58,0x60fe898ec9308be4e5db6ca2871eaae1c03eca62e2a79890e577f336937161b1,"2_safe.sol,2_safe_attacker.sol,safe,7"
0x939F8f3B34FFfCD480B219103B04655DCf23cF33,0x5D1F4630578800421e0a94D8a107896fCC19EA26,0,3000000,0x8f088f920000000000000000000000005d1f4630578800421e0a94d8a107896fcc19ea26,0xe2ed1162c9fb037a3039f6a21649df18a70a215e78b9cd6e713d70b9b313de53,"4.sol,4_attacker.sol,vul,10"
0xd0804fac472d0fBCf6bBeF3B2153b919C7a49c15,0x240DDD87bf18d7D553d63664feF21935639D1160,0,3000000,0x8f088f92000000000000000000000000240ddd87bf18d7d553d63664fef21935639d1160,0xf42050e1e6289dbe52895840ae81ae07cd9d3d8bde1de9e8014c676d9c546e2c,"3_safe.sol,3_safe_attacker.sol,safe,9"
